Title,Operating Condition,,,,Anode Catalyst,,,,,,,,Cathode Catalyst,,,,Coating Method,Membrane,,,,,,Polymers,,,Planned Output,,,,,,,,,
,Operating Temperature (?),Operating Pressure (bar),Flow Rate (mL min-1),Active Area (cm2),Ir wt. %,Ru wt.%,O wt. %,Pure_0/Supported_1,C wt. %,Particle Size,Surface Area,Anode Precious Metal Loading (mg cm-2 Ir/Ru/Pt/Pd),Pt wt. %,Particle Size,Surface Area,Cathode Precious Metal Loading (mg cm-2 Pt/Pd),CCM_0/GDE_1,Membrane Type,Membrane Thickness (?m),EW,Water Uptake,Expansion,Ionic Conductivity,Polymer Type,I/C in Anode,I/C in Cathode,Current at 1.5 V,Current at 1.6 V,Current at 1.7 V,Current at 1.8 V,Current at 1.9 V,Current at 2.0 V,Minimum Stability Current Density (A cm-2),Maximum Stability Current Density (A cm-2),Fluctuation period (h),Stability Test Time (h-1)
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,125,1100,,,,,0.22,1,0.14976,0.56286,1.00331,1.49337,1.99963,2.48969,0,0,0,0
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,125,1100,,,,,0.22,1,0.12917,0.50689,0.89436,1.33455,1.78058,2.25883,1,1,0,60
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,115,360,,,,,0.1,0.28,0.27126,0.86561,2.0057,3.49714,5.01187,6.5266,0,0,0,0
"All-Hydrocarbon MEA for PEM Water Electrolysis 
Combining Low Hydrogen Crossover and High Efficiency",80,1,40,4,85.52915767,0,14.47084233,0,0,,,1.282937365,60,,,0.3,0,,115,360,,,,,0.1,0.28,0.18773,0.52738,1.01149,1.54244,2.32813,3.25241,1,1,0,60
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,0.0312,0.28642,0.94636,1.78286,2.61936,3.45586,2,2,0,2526
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,0.0282,0.27621,0.91733,1.76004,2.60275,3.44546,2,2,0,4750
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,0.25675,0.80154,1.61873,2.54952,3.49252,4.43552,6,6,0,309
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,0.0833,0.38256,0.82841,1.3329,1.93144,2.52998,6,6,0,5273
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,0.1193,0.61446,1.64666,2.9597,4.43286,5.76068,10,10,0,184
"A novel work-flow to study Ir electrode thinning and dissolution in proton
exchange membrane water electrolyzers",80,1,75,50,100,0,0,0,0,,,0.5,100,,,0.25,0,,125,1100,,,,,0,0,0.03801,0.52085,1.52595,2.69118,3.9377,5.27783,10,10,0,5515
